user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
,,,,,,,,,
VisJeremy,Jeremy Vis,7.93591E+17,2016-11-01 23:12,/VisJeremy/status/793591496339435521,0,0,0,"Also: can't wait to hear from @wess_stafford in person at @northview_cc (Abbotsford)! Saturday 5:30, Sunday @ 8:30, 10, 11:30. @CompassionCA","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Also: can't wait to hear from <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""23656675"" dir=""ltr"" href=""/wess_stafford""><s>@</s><b>wess_stafford</b></a> in person at <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""206589509"" dir=""ltr"" href=""/northview_cc""><s>@</s><b>northview_cc</b></a> (Abbotsford)! Saturday 5:30, Sunday @ 8:30, 10, 11:30. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a></p>"
,,,,,,,,,
VisJeremy,Jeremy Vis,7.93589E+17,2016-11-01 23:01,/VisJeremy/status/793588914451648512,0,0,0,So excited for this weekend at @northview_cc with @CompassionCA! Compassion Experience Fri-Mon. Don't miss this! http://northview.org/compassion/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">So excited for this weekend at <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""206589509"" dir=""ltr"" href=""/northview_cc""><s>@</s><b>northview_cc</b></a> with <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a>! Compassion Experience Fri-Mon. Don't miss this! <a class=""twitter-timeline-link"" data-expanded-url=""http://northview.org/compassion/"" dir=""ltr"" href=""https://t.co/16zqgSdsPo"" rel=""nofollow noopener"" target=""_blank"" title=""http://northview.org/compassion/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">northview.org/compassion/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
,,,,,,,,,
Mama2GreatKids,Aimee Esparaz,7.96109E+17,2016-11-08 21:57,/Mama2GreatKids/status/796109313886527488,1,0,0,"Thank you for praying with us, Tonya!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thank you for praying with us, Tonya!</p>"
,,,,,,,,,
stonetoheart,Tonya Marie,7.96109E+17,2016-11-08 21:54,/stonetoheart/status/796108568587972608,1,1,0,So wish o could be there!! Praying for many sponsorships.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">So wish o could be there!! Praying for many sponsorships.</p>"
,,,,,,,,,
Mama2GreatKids,Aimee Esparaz,7.96103E+17,2016-11-08 21:33,/Mama2GreatKids/status/796103396444864513,1,1,0,#1000gifts ~ All set up & ready to go with @CompassionCA for @annvoskamp's #Toronto stop of… https://www.instagram.com/p/BMkHxalBtXW/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/1000gifts?src=hash""><s>#</s><b>1000gifts</b></a> ~ All set up &amp; ready to go with <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""295731640"" dir=""ltr"" href=""/CompassionCA""><s>@</s><b><strong>CompassionCA</strong></b></a> for <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""66812365"" dir=""ltr"" href=""/AnnVoskamp""><s>@</s><b>annvoskamp</b></a>'s <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Toronto?src=hash""><s>#</s><b>Toronto</b></a> stop of… <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/BMkHxalBtXW/"" dir=""ltr"" href=""https://t.co/EPWblmKiVz"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/BMkHxalBtXW/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/BMkHxalBtXW/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
,,,,,,,,,
