user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
,,,,,,,,,
PlanCanada,Plan Int'l Canada,7.93937E+17,2016-11-02 22:05,/PlanCanada/status/793937026785611780,11,0,7,"Smiles & #cleanwater – that's what we love to see! Together, we're improving access to safe drinking water in this community in #Ghana.pic.twitter.com/LBAw19msUL","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Smiles &amp; <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/cleanwater?src=hash""><s>#</s><b>cleanwater</b></a> – that's what we love to see! Together, we're improving access to safe drinking water in this community in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Ghana?src=hash""><s>#</s><b>Ghana</b></a>.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/LBAw19msUL"">pic.twitter.com/LBAw19msUL</a></p>"
,,,,,,,,,
PublicOutreach,Public Outreach Jobs,7.93845E+17,2016-11-02 16:00,/PublicOutreach/status/793845325156978692,1,0,0,Want to break the cycle of poverty? Find out how @PlanCanada http://ow.ly/9qks305MkK4 ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Want to break the cycle of poverty? Find out how <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20016977"" dir=""ltr"" href=""/PlanCanada""><s>@</s><b><strong>PlanCanada</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/9qks305MkK4"" dir=""ltr"" href=""https://t.co/NCT0exxLxV"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/9qks305MkK4""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/9qks305MkK4</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
,,,,,,,,,
JobsThatHelp,PublicOutreachUSJobs,7.93845E+17,2016-11-02 16:00,/JobsThatHelp/status/793845325102518272,1,0,0,Want to break the cycle of poverty? Find out how @PlanCanada http://ow.ly/9qks305MkK4 ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Want to break the cycle of poverty? Find out how <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20016977"" dir=""ltr"" href=""/PlanCanada""><s>@</s><b><strong>PlanCanada</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/9qks305MkK4"" dir=""ltr"" href=""https://t.co/2ufrvfMfQk"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/9qks305MkK4""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/9qks305MkK4</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
,,,,,,,,,
1962sue,Sue Anderson,7.93781E+17,2016-11-02 11:45,/1962sue/status/793781088791457792,0,0,0,Education is the key to #endchildmarriage @PlanCanada https://twitter.com/planglobal/status/793772603563511808 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Education is the key to <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/endchildmarriage?src=hash""><s>#</s><b>endchildmarriage</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20016977"" dir=""ltr"" href=""/PlanCanada""><s>@</s><b><strong>PlanCanada</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/planglobal/status/793772603563511808"" dir=""ltr"" href=""https://t.co/N3fMZLTt9L"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/planglobal/status/793772603563511808""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/planglobal/sta</span><span class=""invisible"">tus/793772603563511808</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
,,,,,,,,,
1962sue,Sue Anderson,7.93604E+17,2016-11-02 0:03,/1962sue/status/793604494022049792,0,0,0,Child sponsorship with @PlanCanada works!  Read Fatu's story! @biaagcanadahttps://twitter.com/biaagcanada/status/793501672215543809 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Child sponsorship with <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20016977"" dir=""ltr"" href=""/PlanCanada""><s>@</s><b><strong>PlanCanada</strong></b></a> works!  Read Fatu's story! <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""44375245"" dir=""ltr"" href=""/biaagcanada""><s>@</s><b>biaagcanada</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/biaagcanada/status/793501672215543809"" dir=""ltr"" href=""https://t.co/pLcAYOnSRX"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/biaagcanada/status/793501672215543809""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/biaagcanada/st</span><span class=""invisible"">atus/793501672215543809</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
